y_true,y_pred
1500-1500-MYR-MONTHLY,1500-1500-MYR-MONTHLY
20-25-AUD-HOURLY,25-25-AUD-HOURLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
2700-3000-SGD-MONTHLY,2700-3000-SGD-MONTHLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
2300-2700-SGD-MONTHLY,2300-2700-SGD-MONTHLY
0-0-None-None,0-0-None-None
61868-61868-AUD-ANNUAL,61868-61868-AUD-ANNU
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
16000-16000-PHP-MONTHLY,16000-16000-PHP-MONTHLY
0-0-None-None,0-0-None-None
25-30-NZD-HOURLY,25-30-NZD-HOURLY
0-0-None-None,0-0-None-None
3750-5000-HKD-WEEKLY,3750-5000-HKD-WEEK
0-0-None-None,0-0-None-None
1500-1500-MYR-MONTHLY,1500-1500-MYR-MONTHLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
500-800-SGD-MONTHLY,500-800-SGD-MONTHLY
625-800-HKD-WEEKLY,625-800-HKD-WEEKLY
0-0-None-None,0-0-None-None
60-60-SGD-DAILY,60-60-SGD-DAILY
0-0-None-None,0-0-None-None
30-30-AUD-HOURLY,30-30-AUD-HOURLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
1800-2000-MYR-MONTHLY,1800-2000-MYR-MONTHLY
0-0-None-None,0-0-None-None
27-27-NZD-HOURLY,27-27-NZD-HOURLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
130378-132799-AUD-ANNUAL,130378-132799-AUD-
21000-21000-PHP-MONTHLY,21000-21000-PHP-MONTHLY
0-0-None-None,0-0-None-None
123870-127316-AUD-ANNUAL,123870-127317-AUD-
0-0-None-None,0-0-None-None
106-106-HKD-HOURLY,106-106-HKD-HOURLY
0-0-None-None,20-30-NZD-HOURLY
90-160-HKD-HOURLY,80-160-HKD-HOURLY
2800-4000-SGD-MONTHLY,2800-4000-SGD-MONTHLY
35-45-NZD-HOURLY,35-45-NZD-HOURLY
60-70-AUD-HOURLY,60-70-AUD-HOURLY
500-750-SGD-WEEKLY,500-750-SGD-WEEKLY
26-29-NZD-HOURLY,26-26-NZD-HOURLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
76171-87566-AUD-ANNUAL,76171-87566-AUD-ANNU
0-0-None-None,0-0-None-None
40-46-AUD-HOURLY,40-46-AUD-HOURLY
30-30-AUD-HOURLY,29-30-AUD-HOURLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
12-12-SGD-HOURLY,12-12-SGD-HOURLY
0-0-None-None,0-0-None-None
125-170-HKD-HOURLY,125-170-HKD-HOURLY
100-250-THB-HOURLY,100-250-THB-HOURLY
35-49-AUD-HOURLY,35-49-AUD-HOURLY
51-55-AUD-HOURLY,51-55-AUD-HOURLY
2800-3600-SGD-MONTHLY,2800-3600-SGD-MONTHLY
0-0-None-None,0-0-None-None
26-26-NZD-HOURLY,26-26-NZD-HOURLY
0-0-None-None,0-0-None-None
38-40-AUD-HOURLY,38-40-AUD-HOURLY
34-34-AUD-HOURLY,34-34-AUD-HOURLY
17000-17000-PHP-MONTHLY,17000-17000-PHP-MONTHLY
0-0-None-None,0-0-None-None
12000-30000-HKD-MONTHLY,12000-30000-HKD-MON
2500-3300-SGD-MONTHLY,2500-3300-SGD-MONTHLY
0-0-None-None,0-0-None-None
2000-2000-MYR-MONTHLY,2000-2000-MYR-MONTHLY
30000-35000-THB-MONTHLY,30000-35000-THB-MONTH
16000-16000-PHP-MONTHLY,16000-16000-PHP-MONTHLY
16000-16000-PHP-MONTHLY,16000-16000-PHP-MONTHLY
44-50-HKD-HOURLY,44-50-HKD-HOURLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
83-88-HKD-HOURLY,80-80-HKD-HOURLY
1250-1500-SGD-WEEKLY,1250-1500-SGD-WEEKLY
13300-13300-HKD-MONTHLY,13300-13300-HKD-MON
100-100-HKD-HOURLY,100-120-HKD-HOURLY
500-667-HKD-DAILY,500-667-HKD-DAILY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
4000-4500-SGD-MONTHLY,4000-4500-SGD-MONTHLY
4000-6000-MYR-MONTHLY,4000-6000-SGD-MONTHLY
0-0-None-None,0-0-None-None
50000-80000-THB-MONTHLY,50000-80000-THB-MONTH
78-90-AUD-HOURLY,78-90-AUD-HOURLY
700-800-SGD-WEEKLY,700-800-SGD-WEEKLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
20000-30000-THB-MONTHLY,20000-30000-THB-MONTH
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
2400-3700-SGD-MONTHLY,2400-3700-SGD-MONTHLY
28000-28000-PHP-MONTHLY,28000-28000-PHP-MONTHLY
0-0-None-None,0-0-None-None
5000-5500-SGD-MONTHLY,5000-5500-SGD-MONTHLY
65-70-HKD-HOURLY,65-70-HKD-HOURLY
0-0-None-None,0-0-None-None
625-750-SGD-WEEKLY,625-750-SGD-WEEKLY
225000-250000-AUD-ANNUAL,100000-130000-AUD-
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
29-30-AUD-HOURLY,29-30-AUD-HOURLY
31-32-AUD-HOURLY,31-32-AUD-HOURLY
1500-1500-MYR-MONTHLY,1500-1500-MYR-MONTHLY
13-13-SGD-HOURLY,14-14-SGD-HOURLY
25000-30000-THB-MONTHLY,25000-30000-THB-MONTH
0-0-None-None,0-0-None-None
25000-35000-THB-MONTHLY,25000-35000-THB-MONTH
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
1500-1800-MYR-MONTHLY,1500-1800-MYR-MONTHLY
33-33-AUD-HOURLY,33-33-AUD-HOURLY
117544-120393-AUD-ANNUAL,117544-120393-AUD-
52-52-AUD-HOURLY,52-52-AUD-HOURLY
0-0-None-None,0-0-None-None
70050-98351-AUD-ANNUAL,70049-98351-AUD-ANNU
3500-10000-MYR-MONTHLY,3500-10000-MYR-MONTHLY
12000-30000-HKD-MONTHLY,12000-30000-HKD-MON
89095-139187-AUD-ANNUAL,89095-139187-AUD-AN
90-100-AUD-HOURLY,90-100-AUD-HOURLY
0-0-None-None,0-0-None-None
3000-5000-MYR-MONTHLY,3000-5000-MYR-MONTHLY
24-24-NZD-HOURLY,0-0-None-None
1500-3000-MYR-MONTHLY,1500-3000-MYR-MONTHLY
200-300-HKD-HOURLY,200-300-HKD-HOURLY
73-87-SGD-DAILY,73-87-SGD-DAILY
9000-15000-THB-MONTHLY,9000-15000-THB-MONTHLY
0-0-None-None,0-0-None-None
16000-16000-PHP-MONTHLY,16000-16000-PHP-MONTHLY
60-70-AUD-HOURLY,60-70-AUD-HOURLY
31-31-AUD-HOURLY,31-31-AUD-HOURLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
1500-1800-MYR-MONTHLY,1500-1800-MYR-MONTHLY
0-0-None-None,0-0-None-None
3000-5000-MYR-MONTHLY,3000-5000-MYR-MONTHLY
17500-17500-PHP-MONTHLY,17500-17500-PHP-MONTHLY
0-0-None-None,0-0-None-None
70-70-HKD-HOURLY,70-70-HKD-HOURLY
26-26-NZD-HOURLY,26-26-NZD-HOURLY
132606-139914-AUD-ANNUAL,132606-139914-AUD-
0-0-None-None,0-0-None-None
37-37-AUD-HOURLY,37-37-AUD-HOURLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
36-36-NZD-HOURLY,0-0-None-None
4000-8000-SGD-MONTHLY,4000-8000-SGD-MONTHLY
118197-126566-AUD-ANNUAL,118197-126566-AUD-
1000-1000-THB-HOURLY,1000-1000-THB-HOURLY
0-0-None-None,0-0-None-None
3500-3500-MYR-MONTHLY,3500-3500-MYR-MONTHLY
0-0-None-None,0-0-None-None
118197-126566-AUD-ANNUAL,118197-126566-AUD-
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
60-70-HKD-HOURLY,60-70-HKD-HOURLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
1500-2100-MYR-MONTHLY,1500-2100-MYR-MONTHLY
29-32-AUD-HOURLY,29-32-AUD-HOURLY
0-0-None-None,0-0-None-None
16000-16000-PHP-MONTHLY,16000-16000-PHP-MONTHLY
0-0-None-None,0-0-None-None
25000-30000-THB-MONTHLY,25000-30000-THB-MONTH
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
80-80-HKD-HOURLY,80-85-HKD-HOURLY
16000-16000-PHP-MONTHLY,16000-16000-PHP-MONTHLY
40-60-HKD-HOURLY,40-60-HKD-HOURLY
3800-5500-MYR-MONTHLY,3800-5500-MYR-MONTHLY
17500-17500-PHP-MONTHLY,17500-17500-PHP-MONTHLY
18000-18000-PHP-MONTHLY,18000-18000-PHP-MONTHLY
17500-17500-PHP-MONTHLY,17500-17500-PHP-MONTHLY
75000-75000-AUD-ANNUAL,75000-75000-AUD-ANNU
65-65-HKD-HOURLY,40-40-HKD-HOURLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
3750-5000-HKD-WEEKLY,5000-5000-HKD-WEEK
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
2000-2800-MYR-MONTHLY,2000-2800-MYR-MONTHLY
102051-125151-AUD-ANNUAL,102051-125151-AUD-
100-250-THB-HOURLY,100-250-THB-HOURLY
0-0-None-None,0-0-None-None
1500-1500-MYR-MONTHLY,1500-1500-MYR-MONTHLY
100-120-HKD-HOURLY,100-120-HKD-HOURLY
0-0-None-None,0-0-None-None
500-600-SGD-WEEKLY,500-600-SGD-WEEKLY
1500-1500-MYR-MONTHLY,1500-1500-MYR-MONTHLY
3000-4000-SGD-MONTHLY,3000-4000-SGD-MONTHLY
500-667-PHP-DAILY,500-667-PHP-DAILY
1500-1800-MYR-MONTHLY,1500-1800-MYR-MONTHLY
108595-112114-AUD-ANNUAL,108595-112114-AUD-
70-70-HKD-HOURLY,70-70-HKD-HOURLY
2000-4000-SGD-MONTHLY,2000-4000-SGD-MONTHLY
500-575-SGD-WEEKLY,500-575-SGD-WEEKLY
60-60-HKD-HOURLY,60-60-HKD-HOURLY
5300-9100-MYR-MONTHLY,5300-9100-MYR-MONTHLY
0-0-None-None,0-0-None-None
18000-20000-THB-MONTHLY,18000-20000-THB-MONTH
31-31-AUD-HOURLY,32-32-AUD-HOURLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
2700-3000-SGD-MONTHLY,2700-3000-SGD-MONTHLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
1500-1500-MYR-MONTHLY,1500-1500-MYR-MONTHLY
14500-16000-HKD-MONTHLY,14500-16000-HKD-MON
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
1500-2200-MYR-MONTHLY,1500-2200-MYR-MONTHLY
3500-4900-MYR-MONTHLY,3500-4900-MYR-MONTHLY
41-41-AUD-HOURLY,41-41-AUD-HOURLY
16000-16000-PHP-MONTHLY,16000-16000-PHP-MONTHLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
110000-110000-PHP-MONTHLY,110000-110000-PHP-MON
60-75-HKD-HOURLY,60-75-HKD-HOURLY
6000-8000-SGD-MONTHLY,6000-8000-SGD-MONTHLY
60-70-HKD-HOURLY,60-70-HKD-HOURLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
27-31-NZD-HOURLY,27-31-NZD-HOURLY
63723-68073-AUD-ANNUAL,63723-68073-AUD-ANNU
0-0-None-None,0-0-None-None
0-0-None-None,28-30-NZD-HOURLY
2800-3500-SGD-MONTHLY,2800-3500-SGD-MONTHLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
40000-40000-PHP-MONTHLY,40000-40000-PHP-MONTHLY
2000-2300-MYR-MONTHLY,2000-2300-MYR-MONTHLY
90000-90000-PHP-MONTHLY,90000-90000-PHP-MONTHLY
29-29-AUD-HOURLY,29-29-AUD-HOURLY
30000-45000-THB-MONTHLY,30000-45000-THB-MONTH
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
10-40-NZD-HOURLY,10-10-NZD-HOURLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
67-110-SGD-DAILY,67-110-SGD-DAILY
27-31-NZD-HOURLY,27-31-NZD-HOURLY
50-60-HKD-HOURLY,50-60-HKD-HOURLY
0-0-None-None,0-0-None-None
24-30-NZD-HOURLY,24-30-NZD-HOURLY
1500-1800-MYR-MONTHLY,1500-1800-MYR-MONTHLY
2300-2800-SGD-MONTHLY,2300-2800-SGD-MONTHLY
25-25-AUD-HOURLY,25-30-AUD-HOURLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
18000-18000-PHP-MONTHLY,18000-18000-PHP-MONTHLY
50-55-AUD-HOURLY,50-55-AUD-HOURLY
0-0-None-None,0-0-None-None
2500-3500-SGD-MONTHLY,2500-3500-SGD-MONTHLY
44-50-AUD-HOURLY,44-50-AUD-HOURLY
1500-2500-MYR-MONTHLY,1500-2500-MYR-MONTHLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
23-28-NZD-HOURLY,23-28-NZD-HOURLY
3500-4500-SGD-MONTHLY,3500-4500-SGD-MONTHLY
22000-22000-PHP-MONTHLY,22000-22000-PHP-MONTHLY
0-0-None-None,0-0-None-None
2500-2800-SGD-MONTHLY,2500-2800-SGD-MONTHLY
85000-85000-NZD-ANNUAL,85000-85000-NZD-AN
15000-20000-THB-MONTHLY,15000-20000-THB-MONTH
18000-18000-PHP-MONTHLY,18000-18000-PHP-MONTHLY
0-0-None-None,0-0-None-None
35-45-NZD-HOURLY,35-45-NZD-HOURLY
3000-3000-MYR-MONTHLY,3000-3000-MYR-MONTHLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
10-10-SGD-HOURLY,10-10-SGD-HOURLY
40-43-AUD-HOURLY,40-44-AUD-HOURLY
57-66-HKD-HOURLY,57-66-HKD-HOURLY
37-42-NZD-HOURLY,37-42-NZD-HOURLY
0-0-None-None,0-0-None-None
55-55-AUD-HOURLY,55-55-AUD-HOURLY
130-130-THB-HOURLY,130-130-THB-HOURLY
123-123-IDR-HOURLY,123000-123000-IDR-
0-0-None-None,0-0-None-None
24-24-NZD-HOURLY,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
13000-15000-THB-MONTHLY,13000-15000-THB-MONTH
15000-20000-THB-MONTHLY,15000-20000-THB-MONTH
50-55-AUD-HOURLY,50-55-AUD-HOURLY
23-28-NZD-HOURLY,22-28-NZD-HOURLY
0-0-None-None,0-0-None-None
117-133-SGD-DAILY,117-133-SGD-DAILY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
2500-2700-SGD-MONTHLY,2500-2700-SGD-MONTHLY
35000-35000-PHP-MONTHLY,35000-35000-PHP-MONTHLY
60-73-SGD-DAILY,60-73-SGD-DAILY
625-750-SGD-WEEKLY,625-750-SGD-WEEKLY
35-45-NZD-HOURLY,35-45-NZD-HOURLY
50-50-HKD-HOURLY,40-40-HKD-HOURLY
0-0-None-None,0-0-None-None
60-60-HKD-HOURLY,60-60-HKD-HOURLY
0-0-None-None,0-0-None-None
25000-25000-PHP-MONTHLY,25000-25000-PHP-MONTHLY
70050-98351-AUD-ANNUAL,70049-98351-AUD-ANNU
0-0-None-None,0-0-None-None
62-123-SGD-DAILY,62-123-SGD-DAILY
2500-4000-MYR-MONTHLY,2500-4000-MYR-MONTHLY
0-0-None-None,0-0-None-None
78000-90000-NZD-ANNUAL,78000-90000-NZD-AN
0-0-None-None,0-0-None-None
625-875-SGD-WEEKLY,625-875-SGD-WEEKLY
117-150-SGD-DAILY,117-150-SGD-DAILY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
30000-30000-THB-MONTHLY,30000-30000-THB-MONTH
1500-2345-MYR-MONTHLY,1500-1500-MYR-MONTHLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
30-35-AUD-HOURLY,30-35-AUD-HOURLY
0-0-None-None,0-0-None-None
100-120-HKD-HOURLY,100-120-HKD-HOURLY
25000-25000-PHP-MONTHLY,25000-25000-PHP-MONTHLY
0-0-None-None,0-0-None-None
34-48-AUD-HOURLY,34-48-AUD-HOURLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
1500-1500-MYR-MONTHLY,1500-1500-MYR-MONTHLY
60-80-HKD-HOURLY,60-80-HKD-HOURLY
0-0-None-None,0-0-None-None
1500-1900-MYR-MONTHLY,1500-1900-MYR-MONTHLY
0-0-None-None,0-0-None-None
45-45-AUD-HOURLY,45-45-AUD-HOURLY
2200-3000-MYR-MONTHLY,2200-3000-MYR-MONTHLY
500-625-SGD-WEEKLY,500-625-SGD-WEEKLY
0-0-None-None,0-0-None-None
25-30-NZD-HOURLY,30-30-NZD-HOURLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
27-27-NZD-HOURLY,27-27-NZD-HOURLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
2200-3200-SGD-MONTHLY,2200-3200-SGD-MONTHLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
38-49-AUD-HOURLY,38-49-AUD-HOURLY
85-85-HKD-HOURLY,40-40-HKD-HOURLY
0-0-None-None,0-0-None-None
6000-8000-SGD-MONTHLY,6000-8000-SGD-MONTHLY
0-0-None-None,0-0-None-None
60-77-HKD-DAILY,60-77-HKD-DAILY
525-650-HKD-WEEKLY,525-650-HKD-WEEKLY
2500-2500-MYR-MONTHLY,2500-2500-MYR-MONTHLY
750-1000-HKD-WEEKLY,750-1000-HKD-WEEKLY
18000-18000-PHP-MONTHLY,18000-18000-PHP-MONTHLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
1300-2000-MYR-MONTHLY,1300-2000-MYR-MONTHLY
2000-2600-SGD-MONTHLY,2000-2600-SGD-MONTHLY
2200-2900-SGD-MONTHLY,2200-2900-SGD-MONTHLY
0-0-None-None,0-0-None-None
130-130-HKD-HOURLY,130-130-HKD-HOURLY
73-107-PHP-DAILY,73-107-PHP-DAILY
40-44-HKD-HOURLY,40-44-HKD-HOURLY
32-42-AUD-HOURLY,32-42-AUD-HOURLY
30-30-AUD-HOURLY,30-30-AUD-HOURLY
750-1125-SGD-WEEKLY,750-1125-SGD-WEEKLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
50-50-AUD-HOURLY,33-33-AUD-HOURLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
175-175-HKD-WEEKLY,175-175-HKD-WEEKLY
0-0-None-None,0-0-None-None
40-100-MYR-HOURLY,40-100-MYR-HOURLY
30000-35000-THB-MONTHLY,30000-35000-THB-MONTH
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
5500-5500-MYR-MONTHLY,5500-5500-MYR-MONTHLY
18000-18000-PHP-MONTHLY,18000-18000-PHP-MONTHLY
120-140-HKD-HOURLY,120-140-HKD-HOURLY
15000-15000-PHP-MONTHLY,15000-15000-PHP-MONTHLY
3750-5000-HKD-WEEKLY,3750-5000-HKD-WEEK
40000-60000-THB-MONTHLY,40000-60000-THB-MONTH
0-0-None-None,0-0-None-None
78079-105030-AUD-ANNUAL,78079-105030-AUD-AN
0-0-None-None,0-0-None-None
3750-5000-HKD-WEEKLY,3750-5000-HKD-WEEK
41-45-AUD-HOURLY,41-45-AUD-HOURLY
100-100-HKD-HOURLY,100-100-HKD-HOURLY
0-0-None-None,0-0-None-None
50-55-HKD-HOURLY,50-55-HKD-HOURLY
0-0-None-None,0-0-None-None
124-124-HKD-HOURLY,124-124-HKD-HOURLY
358-358-THB-HOURLY,358-358-THB-HOURLY
3000-4000-MYR-MONTHLY,3000-4000-MYR-MONTHLY
40-45-AUD-HOURLY,40-45-AUD-HOURLY
0-0-None-None,0-0-None-None
2500-2500-MYR-MONTHLY,2500-2500-MYR-MONTHLY
17500-17500-PHP-MONTHLY,17500-17500-PHP-MONTHLY
0-0-None-None,0-0-None-None
2000-2500-MYR-MONTHLY,2000-2500-MYR-MONTHLY
0-0-None-None,0-0-None-None
133-183-HKD-DAILY,133-183-HKD-DAILY
100000-100000-THB-MONTHLY,100000-100000-THB-
350-500-SGD-WEEKLY,350-500-SGD-WEEKLY
0-0-None-None,0-0-None-None
26-32-NZD-HOURLY,26-32-NZD-HOURLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
1500-1500-MYR-MONTHLY,1500-1500-MYR-MONTHLY
2000-3000-MYR-MONTHLY,2000-3000-MYR-MONTHLY
2500-3200-MYR-MONTHLY,2500-3200-MYR-MONTHLY
63-67-AUD-HOURLY,62-68-AUD-HOURLY
34-37-AUD-HOURLY,35-37-AUD-HOURLY
412-412-THB-HOURLY,412-412-THB-HOURLY
3500-4000-SGD-MONTHLY,3500-4000-SGD-MONTHLY
24-26-NZD-HOURLY,24-26-NZD-HOURLY
34-34-AUD-HOURLY,35-35-AUD-HOURLY
24-26-NZD-HOURLY,24-26-NZD-HOURLY
12000-12000-THB-MONTHLY,12000-12000-THB-MONTH
0-0-None-None,0-0-None-None
70-80-HKD-HOURLY,70-80-HKD-HOURLY
0-0-None-None,0-0-None-None
85000-85000-AUD-ANNUAL,85000-85000-AUD-ANNU
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
1800-2100-MYR-MONTHLY,1800-2100-MYR-MONTHLY
0-0-None-None,0-0-None-None
75-75-HKD-HOURLY,75-75-HKD-HOURLY
0-0-None-None,0-0-None-None
6000-7000-MYR-MONTHLY,6000-7000-MYR-MONTHLY
30-30-NZD-HOURLY,0-0-None-None
3000-4500-MYR-MONTHLY,3000-4500-MYR-MONTHLY
2500-3500-MYR-MONTHLY,2500-3500-MYR-MONTHLY
26-26-NZD-HOURLY,26-26-NZD-HOURLY
70049-98351-AUD-ANNUAL,70049-98351-AUD-ANNU
16000-20000-THB-MONTHLY,16000-20000-THB-MONTH
67357-94568-AUD-ANNUAL,67357-94568-AUD-ANNU
2200-2800-SGD-MONTHLY,2200-2800-SGD-MONTHLY
0-0-None-None,0-0-None-None
1800-2500-MYR-MONTHLY,1800-2500-MYR-MONTHLY
3000-3000-MYR-MONTHLY,3000-4000-MYR-MONTHLY
1500-1500-MYR-MONTHLY,1500-1500-MYR-MONTHLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
25000-35000-THB-MONTHLY,25000-35000-THB-MONTH
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
137173-163431-AUD-ANNUAL,137173-163431-AUD-
60-70-AUD-HOURLY,60-70-AUD-HOURLY
2000-3000-SGD-MONTHLY,2000-3000-SGD-MONTHLY
90-100-AUD-HOURLY,90-100-AUD-HOURLY
50-50-HKD-HOURLY,40-40-HKD-HOURLY
58-58-AUD-HOURLY,57-57-AUD-HOURLY
33-38-AUD-HOURLY,33-38-AUD-HOURLY
0-0-None-None,0-0-None-None
17500-17500-PHP-MONTHLY,17500-17500-PHP-MONTHLY
28-40-NZD-HOURLY,40-40-NZD-HOURLY
0-0-None-None,0-0-None-None
18000-18000-PHP-MONTHLY,18000-18000-PHP-MONTHLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
40-51-AUD-HOURLY,40-52-AUD-HOURLY
20-30-NZD-HOURLY,0-0-None-None
0-0-None-None,0-0-None-None
50-65-HKD-HOURLY,50-65-HKD-HOURLY
50-55-AUD-HOURLY,50-55-AUD-HOURLY
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
0-0-None-None,0-0-None-None
26-26-NZD-HOURLY,26-26-NZD-HOURLY
0-0-None-None,0-0-None-None
0-0-None-None,25-30-NZD-HOURLY
1500-2500-MYR-MONTHLY,1500-2500-MYR-MONTHLY
0-0-None-None,0-0-None-None
