job_id,details_lang,details_prob,prompt_tokens,completion_tokens,total_tokens,response_time
72569087,zh,0.9209,434,287,721,5.58
54464574,ja,0.3388,228,101,329,1.81
74698567,en,0.3410,535,353,888,6.65
77461995,ms,0.4198,613,447,1060,7.39
72472340,zh,0.9040,393,264,657,5.48
72537454,zh,0.9160,387,253,640,5.17
73890576,zh,0.9834,2094,1678,3772,36.33
75392064,zh,0.9853,2014,1608,3622,26.66
76279361,id,0.4528,349,186,535,3.46
78313616,ms,0.3438,711,532,1243,10.50
77204185,zh,0.9855,2096,1701,3797,26.31
69151638,id,0.4898,520,329,849,5.50
75341414,th,1.0000,467,277,744,4.99
72469179,zh,0.9384,392,252,644,6.05
55840314,en,0.3578,355,220,575,4.05
77308794,id,0.4986,1026,798,1824,13.90
67885332,id,0.6134,299,143,442,2.46
74739359,zh,0.9861,458,290,748,6.54
76538784,zh,0.9670,519,354,873,6.27
72583418,zh,0.6548,408,267,675,5.69
70113872,id,0.2914,545,376,921,7.89
71304509,zh,0.9666,670,519,1189,10.03
72535348,zh,0.9026,365,233,598,8.16
66390043,id,0.4873,621,426,1047,7.80
78481918,zh,0.9831,872,625,1497,10.10
77328379,zh,0.9844,2033,1597,3630,28.67
77457980,id,0.2915,354,198,552,3.00
73993940,id,0.4545,444,274,718,8.24
77457796,ms,0.5133,912,634,1546,10.24
79241612,zh,0.9928,456,317,773,5.31
78904147,zh,0.9821,479,328,807,5.63
71559923,id,0.5207,421,269,690,4.14
76616308,zh,0.9842,2002,1615,3617,23.19
77978162,zh,0.9536,724,496,1220,7.41
69431486,ms,0.5422,555,345,900,4.81
72091879,zh,0.9408,435,274,709,7.57
78935468,ms,0.5185,519,326,845,5.63
70952862,id,0.5334,740,531,1271,9.62
71149695,zh,0.8927,527,351,878,7.04
71156049,id,0.4254,380,230,610,3.44
75939053,zh,0.9844,2124,1670,3794,25.84
73637057,ms,0.6220,467,271,738,4.81
74437656,zh,0.9974,380,220,600,3.67
76641514,zh,0.9853,2031,1646,3677,28.89
73427024,zh,0.9802,2101,1709,3810,27.73
72578014,zh,0.5902,384,260,644,6.11
77412951,id,0.5312,375,203,578,5.75
74124329,zh,0.9786,2107,1673,3780,24.98
78259831,zh,0.9855,1985,1607,3592,24.07
55403442,en,0.3219,255,127,382,2.28
78542761,zh,0.9959,492,299,791,4.90
71755750,zh,0.9928,868,682,1550,10.03
78758648,zh,0.4706,468,299,767,5.32
73950976,ms,0.3273,657,490,1147,9.70
73706624,th,0.9985,721,435,1156,7.54
72465820,zh,0.8291,385,253,638,4.25
76174485,zh,0.9904,450,262,712,4.29
78229835,zh,0.9847,2042,1567,3609,28.55
72609587,zh,0.8619,356,220,576,8.52
72657549,zh,0.8494,396,270,666,5.20
72543211,zh,0.9212,435,307,742,6.81
75273777,ms,0.3866,636,429,1065,7.53
72602231,zh,0.8946,380,256,636,6.10
78714265,zh,0.9949,477,333,810,7.91
72533293,zh,0.6827,405,276,681,5.11
72021839,id,0.5985,606,372,978,7.06
76101066,zh,0.9851,2063,1639,3702,31.25
74199064,th,0.4395,1140,921,2061,15.36
72524973,ms,0.2051,584,310,894,5.70
74279146,zh,0.9834,2041,1637,3678,31.63
74455246,id,0.4078,397,203,600,4.40
72509801,zh,0.9287,424,302,726,5.53
76333330,zh,0.9845,2035,1656,3691,27.70
78479739,ms,0.4183,309,167,476,3.04
74541576,zh,0.9794,2103,1672,3775,28.74
77708677,th,1.0000,321,141,462,2.87
75111634,en,0.4435,341,212,553,3.19
77546656,zh,0.6627,370,239,609,4.92
54724142,zh,0.9805,1075,860,1935,15.74
73591117,zh,0.9820,2083,1673,3756,33.68
75642552,th,0.4395,1140,921,2061,15.49
77955658,th,1.0000,924,510,1434,9.69
71798804,zh,0.4328,379,245,624,3.45
72575675,zh,0.9335,389,260,649,6.37
74500564,zh,0.9877,1981,1570,3551,27.54
72810881,zh,0.9809,948,726,1674,15.11
73818222,zh,0.9761,418,251,669,4.44
51864385,ja,0.2564,263,140,403,2.97
73463891,th,1.0000,530,312,842,4.68
73121790,zh,0.9138,387,259,646,6.53
79136830,id,0.4479,560,374,934,7.61
78621817,ms,0.4075,397,259,656,5.31
71713762,id,0.5512,794,590,1384,11.52
74733618,zh,0.9824,2099,1691,3790,31.69
72576249,zh,0.7502,382,244,626,3.88
71854115,zh,0.8409,716,510,1226,8.19
72527474,ms,0.5141,462,301,763,6.05
56816068,zh,0.9961,542,373,915,6.74
77789422,zh,0.4237,438,271,709,4.45
76452250,en,0.3592,1230,1047,2277,16.42
73791427,zh,0.9251,427,268,695,4.30
72591174,zh,0.8270,394,264,658,5.73
55005331,en,0.3381,239,110,349,2.04
75525855,th,0.9384,539,360,899,5.73
72423267,th,0.3182,255,122,377,2.35
71183830,zh,0.9297,326,188,514,2.76
56623613,ja,0.2096,217,91,308,1.58
78402318,zh,0.9922,421,287,708,6.00
76848983,zh,0.9906,425,256,681,4.36
74866986,zh,0.9784,569,389,958,6.75
79130952,id,0.4321,558,392,950,6.37
76898739,zh,0.9851,2024,1622,3646,28.03
77648784,zh,0.9917,345,203,548,4.19
78537724,ms,0.5204,464,264,728,6.46
71854393,zh,0.9117,524,382,906,5.50
72514416,zh,0.9193,392,258,650,5.85
72518170,zh,0.4867,365,238,603,5.96
72454725,id,0.4587,551,367,918,6.32
70920795,ms,0.6783,399,240,639,5.05
55489961,en,0.3026,210,84,294,1.47
69502485,id,0.6615,673,447,1120,11.77
77352557,zh,0.9848,1976,1575,3551,26.82
55773396,en,0.1930,711,389,1100,5.99
51556610,ja,0.3471,190,56,246,1.68
74564652,th,0.8142,373,165,538,4.19
78936982,ms,0.4161,350,190,540,5.31
74493767,zh,0.6531,800,573,1373,12.62
69748374,ms,0.4312,317,171,488,4.01
73735644,th,1.0000,607,274,881,6.37
78383404,zh,0.4706,465,299,764,5.83
73883136,zh,0.6800,551,345,896,6.85
71371505,id,0.5882,758,542,1300,12.04
73739137,zh,0.9849,2032,1653,3685,32.69
73197426,th,0.3182,255,122,377,3.98
66297586,zh,0.9803,201,72,273,1.63
72582350,zh,0.8719,406,274,680,5.11
51287755,ko,0.7948,1068,446,1514,10.62
71909836,zh,0.9803,940,759,1699,14.36
76100393,zh,0.9830,411,251,662,4.38
77376143,th,1.0000,380,234,614,6.07
74122021,zh,0.9327,435,301,736,5.34
73440089,en,0.2638,401,264,665,5.08
75212940,id,0.5693,403,239,642,4.64
75070834,zh,0.9985,310,163,473,2.37
74868797,zh,0.4706,453,284,737,6.18
72328966,zh,0.5094,768,597,1365,11.19
74626179,th,0.9998,735,481,1216,9.14
72515996,zh,0.9231,389,250,639,8.32
71257246,zh,0.9712,509,343,852,6.80
75643641,zh,0.4706,456,290,746,5.47
71797428,th,0.3182,255,122,377,3.07
79182294,zh,0.9851,336,170,506,3.78
78971257,ms,0.5869,557,351,908,7.32
75441052,zh,0.9834,2010,1624,3634,28.82
75698944,th,1.0000,672,370,1042,10.62
75708526,zh,0.9914,380,215,595,5.42
71149025,zh,0.9690,467,315,782,5.82
74975211,ms,0.5407,491,308,799,4.91
73263671,ms,0.3866,636,430,1066,8.30
73027470,zh,0.8945,390,270,660,5.50
77754527,zh,0.9835,2071,1645,3716,28.08
71258681,zh,0.9806,694,483,1177,8.62
71483265,zh,0.9395,516,309,825,4.58
56355657,en,0.3578,355,220,575,9.26
74271472,th,0.9998,368,163,531,2.91
71117266,ms,0.4504,678,471,1149,17.00
72019258,id,0.5312,617,370,987,8.04
70969771,id,0.6221,737,508,1245,10.34
74739342,th,0.9999,389,200,589,4.82
72465638,zh,0.9060,436,298,734,6.19
73140292,th,0.9997,715,400,1115,7.26
78703818,ms,0.4145,690,511,1201,9.97
67858113,zh,0.9702,581,430,1011,8.52
72362345,ms,0.4198,616,450,1066,12.68
73309330,zh,0.9172,619,421,1040,7.49
55597271,vi,0.9845,1915,742,2657,13.19
72498129,zh,0.8044,381,248,629,5.52
76458988,th,1.0000,368,198,566,3.68
77553281,id,0.5526,947,678,1625,16.38
77621332,ms,0.3866,632,426,1058,10.15
78317260,zh,0.9778,509,334,843,7.86
73131234,zh,0.9202,405,280,685,7.46
75998173,zh,0.9903,428,270,698,5.72
69955827,id,0.5695,574,372,946,7.57
64295662,id,0.9055,649,439,1088,7.78
75610775,th,1.0001,437,238,675,5.64
75642631,th,0.4027,1183,987,2170,17.49
74271508,zh,0.9861,2069,1678,3747,31.31
71559861,id,0.5207,423,272,695,4.70
72563464,zh,0.8633,361,234,595,3.89
71257546,zh,0.9920,465,298,763,5.70
77456083,id,0.4521,801,549,1350,8.75
63232016,en,0.3312,1388,1146,2534,17.28
71086560,id,0.4195,406,255,661,4.69
72571396,zh,0.6123,399,268,667,4.83
78926495,ms,0.3140,611,474,1085,9.51
73137618,zh,0.6957,373,241,614,4.91
76912229,zh,0.8755,478,290,768,4.87
75067921,zh,0.8985,1949,1667,3616,27.63
72622908,zh,0.8443,374,244,618,6.38
74626049,th,1.0000,868,569,1437,12.83
72645301,zh,0.8977,390,249,639,4.47
74638076,id,0.4049,741,554,1295,8.40
71910231,zh,0.9611,1359,1155,2514,18.33
75896516,ms,0.3394,796,578,1374,14.96
70349223,zh,0.9536,596,440,1036,7.67
77158192,zh,0.9858,1997,1590,3587,34.38
52796765,it,0.9896,540,343,883,6.68
76185646,th,1.0000,713,381,1094,6.52
72555909,zh,0.8895,362,227,589,4.29
72599763,zh,0.7109,392,263,655,4.09
77351798,zh,0.9843,2086,1671,3757,40.66
73123253,zh,0.6834,419,292,711,5.32
53430899,,0.0000,175,48,223,1.53
73131590,zh,0.8067,374,252,626,4.19
73115623,zh,0.4619,374,253,627,8.50
71148002,zh,0.8534,451,298,749,5.89
73853567,zh,0.9781,2097,1709,3806,30.37
73285487,zh,0.9559,490,331,821,10.43
77827452,zh,0.9832,2116,1704,3820,32.66
73846229,zh,0.9584,1164,953,2117,20.36
72909903,id,0.4329,642,442,1084,8.49
72603706,zh,0.8503,370,235,605,5.68
69390054,ms,0.3610,431,275,706,7.64
78152600,zh,0.9797,432,249,681,4.64
51723298,id,0.4811,1377,575,1952,8.90
73130790,zh,0.8542,400,266,666,4.74
74905256,zh,0.9836,2079,1620,3699,38.60
72178363,zh,0.8946,702,473,1175,8.18
77280247,th,1.0000,453,278,731,4.87
73217643,th,1.0000,423,264,687,4.47
74639570,zh,0.9852,2025,1602,3627,27.63
78880272,id,0.5056,796,525,1321,8.35
73995767,zh,0.9828,2128,1679,3807,31.12
75000871,zh,0.9832,2062,1669,3731,27.54
55831978,it,0.4243,313,158,471,3.07
54958362,en,0.2479,225,88,313,1.94
75419174,th,1.0001,450,250,700,5.31
71064593,id,0.5084,552,358,910,7.37
74803238,zh,0.9849,2096,1667,3763,31.85
79211618,zh,0.9991,371,218,589,5.01
76387995,zh,0.9827,2187,1753,3940,37.57
74500630,zh,0.9864,2008,1596,3604,30.13
52612513,ja,0.3091,228,102,330,2.37
75672084,zh,0.9838,2025,1624,3649,34.67
56713292,en,0.1979,712,372,1084,6.79
71755984,zh,0.9501,526,352,878,6.09
79196855,th,0.9997,561,344,905,6.45
76331899,zh,0.9850,2086,1693,3779,30.46
55981558,lv,0.2505,546,265,811,7.61
71140955,zh,0.9653,731,518,1249,9.03
74714152,zh,0.9845,2095,1679,3774,34.50
75642884,en,0.4194,341,214,555,3.39
73118903,zh,0.8812,401,267,668,6.96
74303461,zh,0.9859,2070,1648,3718,34.08
74959327,zh,0.9860,2033,1619,3652,24.44
72658937,zh,0.8309,381,245,626,4.97
72527473,ms,0.5141,461,300,761,6.06
73198727,zh,0.9615,377,206,583,3.15
54528327,fr,0.4563,165,35,200,1.45
72602959,zh,0.8556,381,251,632,6.28
71653634,id,0.5985,730,520,1250,8.74
73137187,zh,0.6937,392,273,665,5.17
73950840,ms,0.3273,644,476,1120,11.78
71522778,ms,0.5442,482,302,784,7.42
76387264,zh,0.4706,459,290,749,4.93
51473830,it,0.9851,637,413,1050,7.06
60182967,ms,0.4719,575,386,961,8.23
76239959,zh,0.9957,386,231,617,3.80
72527428,id,0.5207,422,267,689,3.89
77529530,id,0.5907,614,380,994,5.49
77553205,id,0.5285,729,505,1234,9.00
76933397,id,0.4068,550,370,920,5.56
71560453,ms,0.4609,410,246,656,4.82
71559953,id,0.5207,421,267,688,5.57
72527434,id,0.5207,423,268,691,5.28
72495065,zh,0.8698,399,272,671,4.02
71559789,id,0.5207,423,271,694,6.70
73887750,zh,0.8266,701,461,1162,6.65
54749882,en,0.1871,1399,520,1919,9.81
52590266,de,0.2261,406,280,686,5.94
75301458,ms,0.5398,834,588,1422,10.13
78604821,ms,0.5855,601,366,967,6.50
71382196,zh,0.7764,839,631,1470,11.49
73844328,zh,0.5651,538,317,855,6.65
67590153,id,0.6785,820,518,1338,8.66
68231819,id,0.5468,338,195,533,3.69
77454907,ms,0.4101,601,395,996,7.81
72097654,zh,0.9587,381,222,603,3.57
73333898,th,0.8676,520,342,862,5.33
70589279,id,0.3954,817,405,1222,16.47
78969706,ms,0.3866,636,431,1067,7.07
78634629,id,0.5349,1049,681,1730,12.36
70117012,id,0.2914,545,376,921,7.16
72595935,zh,0.8792,393,271,664,10.46
51420393,en,0.2807,211,84,295,1.91
54741603,ja,0.2925,236,95,331,1.73
72597380,zh,0.6718,400,275,675,4.31
72363206,id,0.5932,738,557,1295,10.52
70936028,id,0.1729,510,319,829,5.57
72492514,zh,0.7318,426,296,722,5.90
72592628,zh,0.8247,382,253,635,6.24
66429733,ms,0.5970,319,165,484,3.16
73297284,id,0.5643,446,274,720,10.14
76214211,th,1.0001,569,265,834,6.25
73423017,zh,0.9853,2067,1668,3735,31.02
