job_id,job_title,job_ad_details,nation_short_desc,y_true_claude,y_true_gpt4.1,y_true_gemini2.5
289,"Analyst, Loans Executive - ESFU, IBG SG COO","<div><div>
<div><div>
<p> - ()</p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
</div></div>
<div><div><div><div>
<div>
<p>Refer a friend</p>
</div>
<div>
<p>Submit a candidate's profile</p>
</div>
</div></div></div></div>
</div></div>",SG,OnSite,Unknown,Unknown
304,CLARK | Customer Service Representative Premium IT Account (Boomerang) | June...,"<p><strong>Position Summary:</strong></p><br /><p>The customer service representative (CSR) handles customer questions and resolves customer issues. The position is dealing with customer requests and complaints by following program specific guidelines. The communication with the customer can take place through different contact channels (phone, email, chat etc.). The diagnosis and provision of a path of resolving inquiries related to all aspects of the appropriate program are main responsibilities of this position</p><br /><p><strong>Overall Responsibilities</strong>:</p><br /><ul><li>Listen and respond to customers’ needs, concerns, requests and complaints</li><br /><li>Provide information about products and services</li><br /><li>Record details of customer contacts and actions taken by accurately log all interactions via program specific contact management systems</li><br /><li>Handling the customer technical inquiries and driving the call to resolution by troubleshooting the problems. This includes hardware, software, networking and interactions with the host computer OS and applications</li><br /><li>Research answers or solutions as needed</li><br /><li>Creating and maintaining a positive and professional relationship to the customer</li><br /><li>Refer customers to supervisors, managers, or others in case of escalation</li></ul><br /><p><strong>Job Requirements:</strong></p><br /><ul><li>High School Diploma or equivalent required.</li><br /><li>Experience in customer service face-to-face or through other channels beneficial</li><br /><li>Excellent skills in handling customer issues with empathy and communicate in a friendly tone</li><br /><li>Ability to drive for solutions according to customer needs</li><br /><li>Talent to listen to and understand the customer and to act accordingly</li><br /><li>Very good verbal communicational skills</li><br /><li>Ability to write and speak adequately in English</li><br /><li>Ability to understand spoken and written English</li><br /><li>Extended computer user skills including strong keyboarding skills</li></ul><p></p>",PH,OnSite,Remote,Remote
337,Start your career with us at Concentrix Eastwood - Non Voice Account - 23K/Month,"<p>Why Concentrix:<br />Prepare for a game-changing career adventure filled with fun, growth, and endless possibilities!<br />As a five billion-dollar publicly traded company (CNXC), we know that when we put our people first, business thrives. You'll find the runway and resources to build the career you've always imagined.<br />At Concentrix, we celebrate diversity, empower our people, and provide unwavering support. We're not just a team; we're your dedicated squad on the path to greatness. We proudly hold the certification as a Great Place to Work, a testament to our unwavering commitment to foster a positive workplace culture.&nbsp;<br />Join us! Together, we will continue to reshape the CX industry.&nbsp;<br /><br /><br />Your Role as a Customer Experience (CX) Advisor<br /><br />As a Customer Experience (CX) Advisor, you hold a crucial position in ensuring that our clients' customers receive exceptional experience. Your primary responsibility is to address their needs and concerns promptly and professionally, leaving a lasting positive impression.<br /><br />To achieve this, your excellent communication skills will be put to use. Active listening, empathy, and effective communication are key. Consistently delivering high-quality service and exceeding expectations are vital for success.&nbsp;<br /><br />If you're passionate about CX and making a game-changing difference, start your journey now.<br /><br />You are a perfect fit for the position if you:<br /><br />• Are a college graduate with or without a background in the Customer Experience (CX) industry<br />• Have at least six (6) months of background in the Customer Experience (CX) industry<br />• Have good English communication skills<br />• Have excellent customer service, problem-solving, and multitasking skills<br />• Have superb computer skills<br />• Are willing to work on shifting schedule<br /><br /><br />Company Overview:<br />We’re a leading global provider of customer experience (CX) solutions and technology. We create game-changing customer journeys for our people and our clients and their customers.&nbsp;<br />With the help of over 440,000 global game-changers, our business is borderless. We support more than 2000 of the world's best brands and dream up the CX tech and innovations of tomorrow. Across 70+ countries and six continents, we provide services across key industry verticals including technology &amp; consumer electronics; retail, travel &amp; ecommerce; banking, financial services &amp; insurance; healthcare; communications &amp; media; automotive; and energy &amp; public sector. With 155+ clients on the Fortune Global 500 list, we are undeniably the future of CX.<br />Our people around the world have devoted their careers to ensuring every relationship is exceptional. So naturally, we're committed to creating game-changing career journeys that power our people towards greater opportunities and brighter futures.&nbsp;<br />Like and follow us on Facebook and TikTok @ConcentrixPH or visit www.concentrix.com to learn more about us.<br />&nbsp;</p>",PH,Remote,OnSite,OnSite
390,Japanese Accounting Assistant-Invoice Processing,"<div><div> <p><b>How to apply to this job</b></p>
 <div>HOW TO APPLY
<br />
求人に興味がございましたら、werecruit.japanese@gmail.com まで英語履歴書をご送付ください。
<br />
For interested applicants you may send your resume to 
<br />
werecruit.japanese@gmail.com
<p>Contact us through (連絡先):
<br />
Contact numbers(携帯番号): 
<br />
Globe: 0917-638-1854 
<br />
Sun: 0932-461-0812
<br />
Landline: (02) 8245 2829
</p>
<p>Social Media Accounts:
<br />
FB Messenger: Nippon Go Jobu
<br />
Skype: live:jknetworkjobs
<br />
Line: Name: J-K Network_NativeJP [ID: @750osdqd]
<br />
Viber: (+ 63) 9369734028
<br />
宛先Kindly look for: Ms. Eve
</p>
<p>Want to know more about our Japanese job openings? Register now!
<br />
より多くの日本語の求人をお探しの方は是非弊社にご登録ください。
<br />
http://jknetwork-jobs.com/register
<br />
Enjoy our FREE merchandise when you get hired. Bring home your Certified Bilingual Hoodie, Gimmy Tumbler and Gimmy Tote Bag. Collect them all!
</p>
<p>弊社を通じて採用された場合無料で弊社グッズをプレゼントします。パーカー、ギミータンブラー、トートバッグをご自宅へお送りします。全部揃えましょ
<br />
Do you know someone who can speak Japanese? Refer your friend and we’ll give you 5, 000 – 20, 000 PHP Referral Bonus once they get their dream job through us!
</p>
<p>日本語を話せる方を知っていますか？もしご紹介した方が弊社を通じて採用された場合、レファレンスとして5, 000 – 20, 000 PHP をお支払いします。
</p>
<p>Be updated on the “Life as a Bilingual in the Philippines”. Subscribe to our official YouTube channel.
<br />
弊社YouTube をチャンネル登録しよう。「フィリピンでのバイリンガルの生活」についてアップデートしてます。
<br />
https://www.youtube.com/channel/UCBtoYkb6b5TYfrhUnxEGj4g
</p>
<p>Visit our official website for more info:
<br />
詳細は弊社ウェブサイトをご覧ください
<br />
http://jknetwork-jobs.com/
</p>
<p>Not sure about the job that you like? Contact us for FREE Career Consultation!
<br />
お仕事が自分に合うか分からない場合は、無料でキャリアコンサルトを実施します。</p>
</div>
 </div></div>",PH,OnSite,Unknown,Unknown
406,Project Manager (Accounting Localization),"<h2>Responsibilities</h2><div><div><p>We are looking for a Project Manager, responsible for localization project specifically in Mainland China. As a Project Manager, you will be the point of contact, leading the localization project from beginning to end.<br /><br />Your role will involve but not limited to:<br /></p><ul><li>Lead Accounting software testing functionality with focus on Accounting in Mainland China</li><li>Driving localization project from start to finish - define precise requirement and manage projects to completion</li><li>Engage with our development and functional consultation teams to define and implement processes</li><li>Build test methodology and test data set-up for configuration, processing, web services and reporting</li><li>Engage/Collaborate with Partners in Mainland China, understanding their processes and how they work</li><li>Communicate with vendors on payment and software integrations</li><li>Ensuring we have Chinese localization in Odoo and becoming a product specialist</li></ul><br />Must haves:<br /><ul><li>Bachelor degree or higher</li><li>Fluent in English + Mandarin</li><li>Strong accounting product / Product Manager experience in accounting field (preferably in Mainland China)</li><li>Excellent analysis, problem solving and communication skills</li><li>Self motivated</li></ul><br />Nice to haves:<br /><ul><li>3-5 years of relevant experience</li><li>Strong interest in tech</li><li>Strong knowledge of Mainland China market </li><li>Immediate availability </li></ul></div></div>",HK,Remote,OnSite,OnSite
413,"Assistant Manager/ Officer, Communications & Events","<p>Our client is a non-profit making organization established over decades.</p><p><strong>Responsibilities</strong></p><ul><li>Plan and coordinate a range of (B2B) events, conferences, webinars, workshops and trip activities </li><li>Responsible for managing publications, website and social media platforms, with focus on effective use of social media and digital marketing tactics</li><li>Through the promotion of events and services, ensuring brand values are demonstrated effectively </li><li>Work with colleagues to establish and use relevant branding and designs for event publicity</li></ul><p><strong>Requirements</strong></p><ul><li>Tertiary graduated in Communications/ Journalism or related disciplines</li><li>Experience in supporting communications, event marketing and/or related activities; ideally with solid experience in managing sizeable events/conferences (B2B or B2C)</li><li>Experience in supporting various publications (online/ printed)</li><li>Experience in running new project/ program initiatives </li><li>Strong organizational, communication and people skill</li><li>Proactive, multi-tasked, dynamic and able to work in a face paced environment</li><li>Excellent English and Chinese language skills in both editorial and verbal communication</li></ul>",HK,OnSite,Hybrid,OnSite
416,JP Conversion FY24 - AS Premium (BA) on 2 Apr 2024,<p>JP Conversion FY24 - AS Premium (BA) on 2 Apr 2024</p>,HK,OnSite,Unknown,Unknown
422,Financial System Manager -SAP FI/CO / Hana,"<p><strong>Responsibilities:</strong></p><ul><li>Handle and resolve day-to-day system interface, maintenance, user requests and enquiries from accounting and system perspective</li><li>Supervise SAP accounting system implementation and enhancement</li><li>Act as internal SAP functional consultant in providing quality SAP advice and worldwide systems support to global financial users</li><li>Plan, coordinate and configure SAP system enhancements according to global and regional user requirements</li><li>Monitor, coordinate and work with developers and external consultants on systems development and enhancements tasks</li><li>Lead User Acceptance Testing (UAT) and coach teammates to carry out the SAP tasks as required </li></ul><p><strong>Requirements:</strong></p><ul><li>Bachelor's degree holder in Accounting, Information Technology or related discipline</li><li>6-8 years' related financial/accounting system experience</li><li>Familiar with SAP FICO or SAP S4 Hana is an advantage</li><li>Experience in system implementation and enhancement</li><li>Independent, self-motivated and able to work under pressure</li><li>Good command of English and Chinese</li></ul>",HK,OnSite,Remote,Hybrid
430,Quality Assurance Tester (QA Analyst),"<p><strong>Responsibilities:</strong></p><ul><li>Execute the quality assurance (QA) testing process to ensure high-quality deliverables for web platforms and iOS/Android mobile applications.</li><li>Design and execute comprehensive test plans and test cases aligned with project requirements and specifications.</li><li>Maintain detailed records of test results and collaborate with cross-functional teams to resolve identified defects.</li><li>Provide regular feedback and recommendations to improve the overall quality of deliverables.</li></ul><p>&nbsp;</p><p><strong>Skills and Qualifications:</strong></p><ul><li>Bachelor's degree in Information Technology, Computer Science, or a related field.</li><li>Minimum 2 years of application testing experience across both web and mobile platforms.</li><li>Ability to work independently, demonstrate strong analytical and problem-solving skills, and thrive under pressure to meet tight project deadlines.</li><li>Proficient in using issue tracking tools like JIRA for managing and reporting on test activities.</li><li>Hands-on experience with testing tools and frameworks such as Inspect, Postman, and Charles.</li><li>Excellent communication skills, both verbal and written, in English and Chinese.</li><li>Familiarity with Agile software development methodologies is preferred.</li><li>Certification in software testing (e.g., ISTQB, CSTP) is a plus.</li></ul>",HK,OnSite,Remote,Hybrid
437,"IT Support Analyst - Direct Contract, Financial Services","<ul><li>Provide 1st level IT support including desktop related technical assistance via telephone, ticket system, emails and instant chat messaging tool, etc.</li><li>Troubleshooting and resolving single customer issues with Windows</li><li>Supporting Microsoft Office, Exchange, VPN, SharePoint, User Client Hardware, Mobile devices, user accounts and permissions.</li><li>Using remote administration tools to resolve issues on desktops, laptops, and printers.</li><li>Ensuring proper documentation, notification, tracking, and follow up of all incidents.</li></ul><p></p><p></p><p><strong>Requirements:</strong></p><p></p><ul><li>Higher Diploma or Bachelor degree in Information Technology or related discipline</li><li>1 year working experience in end user support (fresh graduates are also welcome)</li><li>Knowledge in Windows and software applications support</li><li>Basic Networking skills</li><li>Self-motivated, independent, diligent and able to work under pressure and overtime to execute projects</li><li>Excellent command of written and spoken English and Chinese</li></ul>",HK,OnSite,Remote,OnSite
