job_id,job_title,job_ad_details,nation_short_desc,y_true_claude,y_true_gpt4.1
135,Tutor – Veterinary Nursing,"<p><strong>Permanent, full-time (part-time considered)</strong></p><p>Whitireia and WelTec have been strategic partners since 2012, delivering a range of career training choices and vast opportunities for schools, staff and students. Now we're one of New Zealand's most impressive, globally competitive tertiary institutions. Together, will lead and illuminate our communities through tertiary education.</p><p>We are known for our distinctiveness (Ahureitanga) and we have special relationships with mana whenua WelTec with Te Ātiawa and Whitireia with Ngāti Toa. Together, we are more than the sum of our parts.</p><p>Mā tātou, mō tātou Ko WelTec ki Te Ātiawa, ko Whitireia ki Ngāti Toa. E haere kōtui nei me kura-takahi-puni tātou.</p><p><strong>Whitireia and WelTec's vision (Whakakitenga)</strong></p><p>Learning together. Transforming lives. Te ako ngātahi. Te whakaahua kētanga o te tangata.</p><p><strong>Skills or personal attributes</strong></p><p><strong>The ideal applicant will have the following skills and knowledge:</strong></p><ul><li>A qualification at level six or above in the area of Veterinary Nursing or Veterinary Science</li><li>Relevant experience in the Animal Care or Veterinary industry</li><li>Experience in teaching and a relevant adult teaching qualification is desirable, but not essential</li><li>An ability to adapt teaching practices to meet the needs of a diverse range of students</li><li>A student-centred focus and skills in relationship building with students</li><li>Ability to work effectively as part of a dedicated teaching team and members of the wider WelTec and Whitireia teams</li><li>Exemplary communication skills</li><li>Flexibility and the ability to adapt and problem-solve</li></ul><p>The successful applicant will also be expected to contribute to the development of teaching and assessment material for the programme and support students with the development of literacy and numeracy skills.</p><p>If you enjoy working as part of a dynamic team, have great communication skills and would like to join a fast-paced environment where you can undertake new challenges, we would like to hear from you.</p><p><strong>What we can offer you</strong></p><p>We know it's important to maintain a healthy work/life balance. We offer a number of services and benefits to support our staff.</p><p><strong>When you work with us, we can offer you some of the following benefits:</strong></p><ul><li>Free car parking</li><li>Onsite Cafe at Whitireia and WelTec campuses</li><li>Rewards and recognitions programme</li><li>Flexible working arrangements</li><li>A range of wellness initiatives</li><li>Professional development opportunities</li></ul><p><strong>How to apply - Me pēhea te tono</strong></p><p>Click on apply now and complete the on-line application form. Please note it is important that you complete all sections of the on-line application. For other information, please email recruitment@wandw.ac.nz</p><p><strong>Applications close on Friday, 5 August 2022.</strong></p>",NZ,OnSite,Hybrid
152,Graduate Engineer - Aeronautical Design and Certification.,"<h2><strong>Flight Structures is independently NZ owned and operated, we are based in the Waikato - but work across NZ and internationally.</strong></h2><p>We hold both Part 146 and Part 148 Certificates from the Civil Aviation Authority of NZ. We work across aerospace from design, certification, manufacturing and engineering analysis from our Hamilton base. We achieve Aviation Excellence. Plane and Simple.</p><p>The focus of this position is to provide engineering analysis and design&nbsp;services to clients of Flight Structures.&nbsp; Key responsibilities in this role are to:</p><ul><li>Prepare documentation, reports and manuals to demonstrate compliance of modifications with CAA and FAA regulations;</li><li>Conduct structural and systems analysis;</li><li>Design modifications to aircraft and helicopters;</li><li>Prepare structural, systems, and flight test schedules.</li></ul><p>You will have a BE (Mechanical, Aeronautical or&nbsp;equivalent) with excellent analytical and drawing/modelling skills.&nbsp; In addition you will have strong report writing ability, and the ability to manage your time to meet clients' deadlines. We take pride in our team work - you will need to be able to work within small multi functional project teams. &nbsp;A&nbsp;demonstrated interest in aviation will help your application.</p><p>This position would suit a new graduate who is looking to start their career in aviation.&nbsp; We offer a flexible working environment, the opportunity to learn off experts and the chance to see aircraft out the window daily.</p><p>Position to start Summer 2024/25 (Date to be negotiated)</p><p>For more information on what we do please refer to:</p><p>https://www.flightstructures.co.nz/company-brochure</p><p>To apply please send a cover letter and CV via Seek. &nbsp;</p><p>Applications close 30th June&nbsp;- the team reviewing applications will be reviewing all applications at the closing date and confirm receipt and shortlisting within a week of closing.</p>",NZ,OnSite,Hybrid
154,Intermediate & Senior Architects,"<HTML><br /><br /><b>First, here&rsquo;s a little about us:</b><br /><br />Isthmus is one of New Zealand&rsquo;s leaders in pioneering the design of culturally meaningful, enduring, healthy and inspiring environments.<br /><br />Our award-winning design studio has been going strong for over 28 years, and is unique because it exists at the intersection of architecture, landscape architecture and urban design. We have big aspirations to take our architecture and integrated design practice to new heights, and we&rsquo;re embarking on a phase of serious growth. You&rsquo;ll get a unique opportunity to help us build this within a well-established, exceptional environment.<br /><br />It means more inspiring projects, the chance to collaborate and lots of excitement. This way of working is an expression of our design philosophy of &ldquo;no boundaries&rdquo;. We design across disciplines, allowing the project to be shaped by different perspectives, collective intelligence, and the diverse design skills of our creative team in order to create places that are more enduring, meaningful and fit-for-purpose.<br /><br />We have a number of new and exciting projects happening in delivering residential, public, mixed-used and commercial buildings. Projects that satisfy our passion for design that integrates into the fabric of the urban environment. We have openings in our Auckland and Wellington studios and we&rsquo;re looking for people to join us who think differently &ndash; questioning old ways of doing things and opening discussions that can lead to new possibilities<br />&nbsp;<br /><b>What it&rsquo;s like to work at Isthmus:</b><ul>	<li>You&rsquo;ll join a studio that&rsquo;s design-led first and foremost &ndash; but with commercial savvy. &nbsp;</li>	<li>Personal growth is more important here than titles and labels.You&rsquo;ll get the encouragement to stretch your abilities and fast-track your career beyond old-school hierarchies. &nbsp;</li>	<li>You won&rsquo;t be pigeon-holed, instead you&rsquo;ll work across a diversity of inspiring, complex projects in an environment where your strengths and interests will be nurtured. &nbsp;</li>	<li>You&rsquo;ll find we have a big focus on helping you continue to learn and develop. We&rsquo;ll even contribute towards the costs of professional development, conferences and institute membership. &nbsp;</li>	<li>Work/life balance is encouraged and you&rsquo;ll be offered things like flexible work hours, time in lieu, and our very own public holiday &lsquo;Matariki&rsquo; &ndash; a day off and a special dinner we throw for the whole team and whanau. &nbsp;</li>	<li>You&rsquo;ll enjoy a special culture that includes lots of little extras like bike parks, fruit deliveries, Friday after work drinks, and dinner if you&rsquo;re working late &ndash; to show our appreciation to you.</li></ul><b>Here&rsquo;s the role:</b><br /><br />Working across a diverse range of new projects, you&rsquo;ll be delivering residential, mixed-use and public buildings integrated into the fabric of the urban environment. You&rsquo;ll be an important contributor within our award-winning studio as you deliver pioneering, impactful solutions that enrich places and people.<br /><br />In the senior role&nbsp;the heart of your job as a leader in our business will be helping to foster the talent of others and leading the way on innovative integrated design solutions. You&rsquo;ll oversee project teams and expertly manage projects, carefully overseeing scope, deliverables, design quality and profitability.&nbsp; You&rsquo;ll also guide strong client relationships and contribute to winning new and exciting work.<br /><br /><b>The next Architects to join Isthmus will have:</b><ul>	<li>Experience across&nbsp;multi-unit residential, commercial and mixed use&nbsp;projects</li>	<li>The ability to translate innovative design into practical solutions&nbsp;</li>	<li>An understanding of NZ building codes and relevant standards</li>	<li>A drive for excellence, innovation, and to do things differently</li>	<li>A proactive attitude: you&rsquo;ll grab opportunities to chart your own course</li>	<li>Excitement about working in shades of grey and the opportunity to collaborate within our &ldquo;no boundaries&rdquo; design environment</li>	<li>A hunger to join us on a journey, contributing to the continued growth of our design practice</li></ul>If you&rsquo;ve got a fresh approach to design and are ready to create some of New Zealand&rsquo;s best designed places, send us your CV with a portfolio of the work you&rsquo;re most proud of. Learn more about us and our current vacancies or check out some of our work at www.isthmus.co.nz&nbsp;<br /><br />Ref: 788<p></p></HTML> <HTML>Diverse projects across residential, public, mixed-used and commercial Join us for the journey as we embark on exciting phase of growth Grow a career with no boundaries</HTML>",NZ,OnSite,Hybrid
187,Kaitohutohu Mātāmua Ako/Whanaketanga,"<strong>Kia &#363;kaip&#333; an&#333; te reo M&#257;ori: </strong><br /> Koinei te t&#363;rua p&#333; o te rautaki reo M&#257;ori hou e k&#299;ia nei ko Te Maihi M&#257;ori, he mea waihanga e ng&#257;i M&#257;ori m&#257; ng&#257; k&#257;inga, ng&#257;&nbsp;hapori me ng&#257; iwi.<br /> <br /> I te t&#299;matanga o te tau 2017 i hui tahi Te Ma&#772;ta&#772;wai me ng&#257; r&#333;p&#363; whai p&#257;nga huri noa i te motu ki te kohi haere i ng&#257; k&#333;rero m&#333; ng&#257; kaupapa reo M&#257;ori kei ng&#257; k&#257;inga, ng&#257; hapori; ng&#257; wawata kei a r&#257;tou e p&#257; ana ki te reo M&#257;ori, tae noa ki ng&#257; mahi a Te M&#257;t&#257;wai hei whakatutuki i &#275;nei wawata. N&#257; runga i &#275;nei kohinga k&#333;rero i hua mai ai Maihi M&#257;ori 2017-2040.<br /> <strong>&nbsp;</strong>&nbsp;<br /> <strong>Te t&#363;ranga mahi:</strong><br /> Kua ara mai he &#257;heinga p&#257;rekareka rawa atu m&#333; t&#275;tahi Kaitohutohu M&#257;t&#257;mua Ako/Whanaketanga taiea kia mahi i t&#275;nei w&#257;hi mahi whakahirahira m&#333; t&#275;tahi t&#363;ranga p&#363;mau tekau m&#257; rua marama te roa. He hunga ng&#257;kau nui kei Te M&#257;t&#257;wai e kaha pupuri ana i te mana me te whakarauoratanga o te reo M&#257;ori. &nbsp;&nbsp;<br /> Kei te Kaitohutohu M&#257;t&#257;mua m&#333; ng&#257; take Akoranga/Whanaketanga te haepapa ki te hanga i t&#275;tahi pou tar&#257;waho arataki, whanaketanga, whakangungu hoki m&#257; ng&#257; kaimahi, ng&#257; mema o te Poari me ng&#257; Pae Motuhake. Ko t&#257;u mahi he k&#333;kiri i &#275;tahi h&#299;raunga ako hou kia kairangi ake nei, m&#257; roto i ng&#257; rautaki maha. &#256;p&#257; noa atu, ko ng&#257; kauhau tuihono &#275;r&#257;, ko ng&#257; papamahi, ko ng&#257; k&#333;wae ako matihiko, me &#275;tahi rauemi h&#257;pai i ng&#257; kaimahi.<br /> Ko t&#257;u mahi he tautohu, he whakaraupapa i ng&#257; hiahia whakangungu, whakawhanake hoki a Te M&#257;t&#257;wai m&#257; te toro ki ng&#257; r&#333;p&#363; whai p&#257;nga, tae atu hoki ki te mahi k&#333;tui me ng&#257; pakihi kia m&#257;rama ai ng&#257; hiahia ako, &#257;, he tautohu hoki i ng&#257; w&#257;hi k&#257;ore nei e tino kaha ana.<br /> <br /><strong>He k&#333;rero m&#333;u ake:</strong><br /> M&#257;u an&#333; koe e kuhu, &#257;, ka noho mai koe hei kaimahi ako/whanaketanga whai mana i runga i:<br /> <ul> <li>Te hiranga o &#333;u p&#363;kenga whakam&#333;hiohio, t&#333; pai ki te k&#333;rero M&#257;ori, t&#333; m&#257;rama hoki ki ng&#257; tikanga me ng&#257; m&#257;t&#257;pono o Te Tiriti o Waitangi;</li> <li>T&#275;tahi huarahi mahi tahi kia pai ai te whakakotahitanga mai o te katoa, kia aro k&#275; mai &#275;tahi atu ki &#257;u &#257;rahitanga;</li> <li>&#332;u wheako hirahira m&#333; te &#257;rahi i te whakanaketanga, te hanganga, me te whakatutukitanga o ng&#257; whakangungu arotika, tae noa ki ng&#257; h&#299;raunga ako;</li> <li>&#332;u wheako ki te &#257;rahi i te hanganga o &#275;tahi h&#299;raunga &#257;konga hei whakapakaritanga ake;</li> <li>&#332;u m&#333;hio me &#333;u m&#257;ramatanga ki ng&#257; m&#257;t&#257;pono me ng&#257; ahunga ako.</li> </ul> <strong>Me p&#275;hea te tono:</strong><br /> M&#333; &#275;tahi atu p&#257;rongo, &#257;, e tono ai koe ki t&#275;nei t&#363;ranga, t&#275;na tirohia te pae tukutuku www.h2r.co.nz/tematawai, whakap&#257; mai ki a Victoria Brice ki 04 4999 471, &#257;, &#299;m&#275;ra mai r&#257;nei ki &nbsp;Victoria.brice@h2r.co.nz nama tohutoro 305415. Ka kati ng&#257; tono hei te Wenerei 13 o Oketopa, 5pm.",NZ,Remote,OnSite
194,Gilmours Hamilton - Floor Supervisor,$$PSPACE$$$$PSPACE$$$$PSPACE$$$$PSPACE$$$$PSPACE$$$$PSPACE$$$$PSPACE$$,NZ,OnSite,Unknown
202,Expression of Interest - Implementation Consultant,"<p>We are inviting professionals in high-growth industries who are thinking about their next move or looking for a new opportunity to join our expanding talent pool.</p>
<p>The Marlee Talent Pool is a pilot project designed to:
Help job seekers get discovered by our partners based on their anticipated hiring needs.
Provide optional support and resources for job seekers in their career endeavours.
Help individuals understand, and bring out the best in themselves and each other.
The Marlee Talent Pool process:
Once you express your interest, you will be asked to complete the Marlee work style assessment which measures 48 key attitudes and motivations in the context of work. On completion, you will be automatically added to our growing talent pool and contacted as new opportunities arise.
About Marlee (Fingerprint For Success)
Backed by 20+ years of research, Marlee’s revolutionary predictive analytics have achieved over 90% reliability in forecasting personal and team motivations, behaviours, and performance.
Ultimately, we help people find purpose and fulfillment at work, and help build and scale high-performing teams.</p>
<p>Keep in mind that joining our talent pool does not guarantee a job offer. We aim to balance your technical skills with the results of your Marlee work style assessment to match the hiring needs of our partners.
Your feedback is a gift! Write to us via:</p>
<p>hello@getmarlee.com</p>
<p>to help co-create the future of recruitment, together.</p>
<p>#J-18808-Ljbffr</p>",SG,Remote,Unknown
208,Android: Developer,"<strong>Job Description</strong><ul><li>Kotlin</li><li>Coroutine</li><li>Flows</li><li>Deep understanding of MVVM Architecture</li><li>JUnit</li></ul><p><br /></p><strong>Benefits</strong><p><strong>What we can offer you</strong></p><ul><li>Diverse and dynamic work environment</li><li>Work-life balance and support for career development</li><li>An amazing life inside the element!</li><li>Annual Leave. Medical Leave, Insurance Coverage, Yearly appraisal</li></ul>",SG,OnSite,Unknown
221,Business Operations (Admin/Accounts) Executive and/or Intern,"<p>Contract, Flexi-work hours, Internship/Attachment</p>
<p><strong>Job Description </strong>As a Business Operations Executive and/or Intern, you will learn to play a vital role in supporting our key executives to ensure a smooth operations of our business.</p>
<p><strong>Key Responsibilities</strong></p>
<ul>
 <li>Liaising with suppliers (procurement and shipment)</li>
 <li>Stock management</li>
 <li>Data entry</li>
 <li>Filing documents.</li>
 <li>Assist in day-to-day operation administrative tasks.</li>
 <li>Any other task as assigned.</li>
</ul>
<p><strong>Requirements</strong></p>
<ul>
 <li>Minimum GCE ‘N’ and ‘O’ level or ITE certificate (book keeping)</li>
 <li>Ideally have at least 2 years of relevant working experience</li>
 <li>Proficient in Microsoft Word and Excel</li>
 <li>Good time management and planning</li>
 <li>Attention to detail.</li>
 <li>Ability to communicate in Mandarin is an added advantage</li>
 <li>Good oral and written communication and interpersonal skills.</li>
 <li>Proactive, eager to learn, and able to work independently as well as in a team</li>
</ul>
<p>ONLY SHORTLISTED CANDIDATES WIL BE CONTACTED</p>",SG,OnSite,Hybrid
262,Senior AP/P2P Vendor & Tax Specialist - Hybrid,"<p>Full-time
Company Description</p>
<p>Informa</p>
<div>
<p>is a leading international events, intelligence and scholarly research group. We’re the specialist’s specialist. Through hundreds of powerful brands, we work with businesses and professionals in specialist markets, providing the connections, intelligence and opportunities that help customers grow, do business, make breakthroughs and take better informed decisions.</p>
<p>Informa is listed on London Stock Exchange and a member of FTSE 100, with over 11,000 colleagues working in more than 30 countries. Global Support</p>
</div>
<p>is Informa's sixth division, with major hubs in the United Kingdom, United States, Hong Kong and Singapore as well as several smaller locations. As the team behind the teams, Global Support colleagues provide shared, efficient business services and function-specific expertise to each of Informa's operating divisions, enabling our commercial teams to focus on their markets and customers.
Job Description</p>
<div>
<p>We are seeking a detail-oriented and organized Accounts Payable professional to join our team as our new Senior P2P Vendor &amp; Tax Specialist. In this role, you will play a crucial part in ensuring the smooth operation of our financial processes by accurately processing invoices, handling expense claims, and delivering exceptional customer service to both internal and external stakeholders/vendors. Your attention to detail, strong communication skills, and ability to work within established processes will contribute to maintaining the financial integrity of our organization.</p>
<p>Job duties include: Vendor Data and Relationships:</p>
</div>
<p>Thorough understanding of new vendor requirements for both US based vendors and international vendors including W-9 and W-8 compliance. Comfortable with banking details to include ACH, Wire, SEP accounts and partner banks.
Vendor Site Harmony:</p>
<p>Take charge of maintaining vendor records across several ERP systems, inactivating unused vendors to uphold our commitment to accurate and organized record-keeping.
Vendor Tax Reporting:</p>
<p>Able to create various year end tax forms including 1099, 1042 and T4A-NR. Understanding of Canadian Withholding tax and able to review invoices and payments for compliance.
Ensuring Financial Accuracy:</p>
<p>Ability to reconcile large quantities of vendor data with statements and payments across multiple ERP systems.
Customer Service:</p>
<p>Comfortable engaging with internal and external stakeholders via phone and email. Your responsive and professional communication will enhance the overall experience for everyone involved.
Special Projects:</p>
<p>Collaborate with the accounts payable teams on special projects and new business acquisitions, to help create process improvements and efficiency initiatives.
People Management:</p>
<p>Work collaboratively across teams/businesses. Act as a role model to others. Provide help and a buddy system to other members of the team.
Qualifications</p>
<div>
<ul>
<li>4+ years related experience required</li>
<li>Advanced Microsoft Excel skills required (ex., pivot tables, vlookups, etc.)</li>
<li>SAP and Oracle experience preferred</li>
<li>Excellent attention to detail with ability to multi-task</li>
<li>Good communication skills with the ability to build good relationships with a wide range of stakeholders, internal departments, and key contacts</li>
<li>Remain approachable under pressure</li>
<li>Act with integrity, tact and diplomacy</li>
<li>Good time management skills</li>
<li>Ability to be flexible within role</li>
<li>Good knowledge, best practices and understanding of accounts payable processes</li>
</ul>
<p>Additional Information</p>
</div>
<div>
<p>The pay range for this position is $25-27 / hour depending on experience. Why work at Informa? Employee experience is very important to us at Informa.</p>
<p>On top of joining a supportive, diverse and ambitious team that welcomes all types of candidates. We are also flexible with different working patterns and prioritize promotions internally. Our benefits include:</p>
<p>Learning and development plan to assist with your career development 15 days PTO plus 10 national holidays, 4 days for volunteering and a day off for your birthday! Competitive Benefits with 401k match</p>
<p>Paid parental leave Work with a high quality of specialist products and service Bright and friendly staff who are all “expert’s experts” and additional training and development for helping you achieve your career aspiration</p>
<p>ESPP - become a shareholder We know that sometimes the 'perfect candidate' doesn't exist, and that people can be put off applying for a job if they don't fit all the requirements. If you're excited about working for us and have most of the skills or experience we're looking for, please go ahead and apply.</p>
<p>You could be just what we need! We believe strongly in the value of diversity and creating supportive, inclusive environments where our colleagues can succeed. As such, Informa is proud to be an Equal Opportunity Employer.</p>
<p>We do not discriminate on the basis of race, color, ancestry, national origin, religion, or religious creed, mental or physical disability, medical condition, genetic information, sex (including pregnancy, childbirth, and related medical conditions), sexual orientation, gender identity, gender expression, age, marital status, military or veteran status, citizenship, or other protected characteristics under federal, state or local law.</p>
</div>
<p>#J-18808-Ljbffr</p>",SG,Remote,Hybrid
275,Privacy Counsel,"<div><div>
<strong>Overview</strong><br />
<p>k-ID is a trailblazing tech startup, specializing in providing advanced, privacy-centric tools designed to protect and empower kids and teens online. We have secured pivotal partnerships with key industry leaders in the gaming industry and are venture-backed by leading global VCs. We are poised for unprecedented growth and expansion in the coming year.</p>
<p>We are seeking a highly experienced and motivated Privacy Counsel based in Singapore with a strong background in children's privacy and safety law. We are seeking an experienced Senior Privacy Legal Counsel to join our legal team. This role will be critical in navigating the complex landscape of data privacy laws, particularly concerning children's privacy and online safety across over 200 jurisdictions. You will also support client engagements, policy development, and general corporate matters.</p>
<strong><strong>Key Responsibilities</strong></strong><br />
<ul>
 <li>Database Management: Develop and maintain a comprehensive database of children's privacy laws and online safety regulations across 200+ jurisdictions.</li>
 <li>Policy Development: Create, review, and update privacy policies related to children's data protection and online safety to ensure compliance with applicable laws.</li>
 <li>Product Compliance: Support k-ID's products to ensure compliance with relevant laws and regulations concerning data privacy.</li>
 <li>Certification Support: Assist k-ID in obtaining privacy and cybersecurity certifications to enhance compliance and trustworthiness.</li>
 <li>Client Support: Assist in client pitches and provide legal support for existing client engagements, addressing their data privacy needs.</li>
 <li>Collaboration: Work with IT, security, and product teams to integrate privacy considerations into k-ID’s product design and service delivery.</li>
 <li>Risk Assessment: Conduct privacy risk assessments focusing on children's online safety and recommend appropriate mitigation strategies.</li>
 <li>Training and Awareness: Design and deliver training programs for employees and clients on data privacy issues related to children's protection and compliance.</li>
 <li>Regulatory Engagement: Liaise with regulatory authorities regarding privacy matters, especially those concerning children's data, and manage inquiries or investigations.</li>
 <li>Incident Response: Lead responses to data breaches or privacy incidents involving children's data, ensuring compliance with notification requirements.</li>
</ul>
<strong><strong>Minimum Requirements:</strong></strong><br />
<ul>
 <li>7 years of experience practicing as a qualified lawyer, with a strong focus on privacy and data protection law.</li>
 <li>In-depth knowledge of global privacy laws, particularly those relating to children.</li>
 <li>Strong analytical skills with the ability to think strategically about privacy issues.</li>
 <li>Excellent written and verbal communication skills.</li>
 <li>Proven ability to work collaboratively with cross-functional teams and support client relationships.</li>
 <li>Mission-driven mentality to empower kids and teens online.</li>
 <li>Relevant certifications (e.g., CIPP/US, CIPP/E) are a plus.</li>
</ul>
</div></div>",SG,Remote,OnSite
288,"VP / AVP, COO-Office Business Management Support, Global Financial Markets","<div><div>
<div><div>
<p> - ()</p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
</div></div>
<div><div><div><div>
<div>
<p>Refer a friend</p>
</div>
<div>
<p>Submit a candidate's profile</p>
</div>
</div></div></div></div>
</div></div>",SG,OnSite,Unknown
289,"Analyst, Loans Executive - ESFU, IBG SG COO","<div><div>
<div><div>
<p> - ()</p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
<p>: </p>
</div></div>
<div><div><div><div>
<div>
<p>Refer a friend</p>
</div>
<div>
<p>Submit a candidate's profile</p>
</div>
</div></div></div></div>
</div></div>",SG,OnSite,Unknown
300,Dynamics 365 Consultant,"<p><strong>About the Job</strong></p><p>&nbsp;</p><p>We are seeking an experienced Dynamics 365 consultant.&nbsp;You will be responsible for leading Dynamics 365 Business Central projects and collaborating with clients to align Dynamics 365 with their growth objectives.<br />&nbsp;<br /><strong>Our ideal candidate will have:</strong><br /><br />&nbsp;</p><ul><li>Exceptional knowledge of Microsoft Dynamics Business Central.</li><li>Proven track record of successfully deploying Dynamics 365 Business Central projects.</li><li>Microsoft Certifications.</li><li>Strong business acumen and strategic thinking skills.</li><li>Excellent communication and interpersonal skills.</li><li>Collaborative mindset and ability to work effectively in a team environment.</li></ul><p>&nbsp;</p><p>The following requirement and skills are&nbsp;<strong>Necessary:</strong></p><p>&nbsp;</p><ul><li>5+ years’ experience in a consulting organisation, with prior experience in a consultant role with (Microsoft Dynamics 365 &amp; Power Platform) managing client relationships.</li><li>Actively participate in pre-sales functions.</li><li>Resolve project, customer, and staff issues independently and with minimal escalation to executive-level.</li><li>Build and maintain strong client relationships, serving as a trusted advisor on M365 Dynamics Business Central.</li><li>Effectively liaise with customers and evaluate customers’ business needs and contribute to the strategic planning of solutions.</li><li>Ensure a high level of customer satisfaction is achieved across all deliverables within the service offerings and method assigned.</li><li>Lead and manage Microsoft Dynamics CRM projects, ensuring successful implementations that meet clients' business goals.</li><li>Provide technical expertise in Microsoft Dynamics CRM across various business development initiatives.</li><li>Stay updated on industry trends and Microsoft Dynamics CRM updates relevant to business development.</li></ul><p>&nbsp;</p><p>We are looking for people with the following qualities:</p><p>&nbsp;</p><ul><li>Reliable and dependable.</li><li>The ability to take the initiative and work unsupervised.</li><li>Excellent customer service &amp; communication skills both verbal and written.</li><li>Dedicated, hardworking, and a self-starter, be proactive use initiative.</li></ul><p>&nbsp;</p><p>DataIQ has an ongoing commitment for its team to demonstrate excellence in their professional practice. Training and development requirements are set quarterly and include Microsoft Certifications, internal training, and external courses. These are all designed to assist our team members’ grow in their roles and contribute to DataIQ meeting its organisational accreditations. A requirement of this role is a commitment to prioritise and complete these quarterly goals. Resources required for you to achieve these goals will be provided by our Training and Development team.</p>",PH,Remote,OnSite
304,CLARK | Customer Service Representative Premium IT Account (Boomerang) | June...,"<p><strong>Position Summary:</strong></p><br /><p>The customer service representative (CSR) handles customer questions and resolves customer issues. The position is dealing with customer requests and complaints by following program specific guidelines. The communication with the customer can take place through different contact channels (phone, email, chat etc.). The diagnosis and provision of a path of resolving inquiries related to all aspects of the appropriate program are main responsibilities of this position</p><br /><p><strong>Overall Responsibilities</strong>:</p><br /><ul><li>Listen and respond to customers’ needs, concerns, requests and complaints</li><br /><li>Provide information about products and services</li><br /><li>Record details of customer contacts and actions taken by accurately log all interactions via program specific contact management systems</li><br /><li>Handling the customer technical inquiries and driving the call to resolution by troubleshooting the problems. This includes hardware, software, networking and interactions with the host computer OS and applications</li><br /><li>Research answers or solutions as needed</li><br /><li>Creating and maintaining a positive and professional relationship to the customer</li><br /><li>Refer customers to supervisors, managers, or others in case of escalation</li></ul><br /><p><strong>Job Requirements:</strong></p><br /><ul><li>High School Diploma or equivalent required.</li><br /><li>Experience in customer service face-to-face or through other channels beneficial</li><br /><li>Excellent skills in handling customer issues with empathy and communicate in a friendly tone</li><br /><li>Ability to drive for solutions according to customer needs</li><br /><li>Talent to listen to and understand the customer and to act accordingly</li><br /><li>Very good verbal communicational skills</li><br /><li>Ability to write and speak adequately in English</li><br /><li>Ability to understand spoken and written English</li><br /><li>Extended computer user skills including strong keyboarding skills</li></ul><p></p>",PH,OnSite,Remote
317,CSR - No Experience Required - SH And SHS GRAD - Paid Training - Baguio Site,"<div><div>
<p>QUALIFICATIONS <br />-at least hs grad <br />-at least 6 months call center <br />-excellent communication skills </p>
<p>WHAT WE HAVE TO OFFER <br />Competitive Salary <br />Exciting Performance Bonuses &amp; Account Specific Allowances <br />Career Advancement Opportunities <br />Promote Within the Company <br />Comprehensive Healthcare Benefits</p>
</div></div>
<div><div><div>
<p>About</p> 
</div></div></div>
<div><p>Follow</p></div>
<div><div><p>Neksjob is an outsourcing and social enterprise that provides quality services to our clients locally and abroad. We are driven by the innate desire to bring about change by encouraging out of the box solutions to well-worn path challenges at a cost-effective rate. We aim to bridge the gap between countries and cultures, distance and time zones, to bring the world closer through the help of emerging technology.</p></div></div>",PH,OnSite,Remote
331,ADMINISTRATIVE AIDE VI (CLERK III) (RMTUB-ADA6-9-2023)*,"<p><strong>Job Description:</strong></p><p><br /></p><p><strong>ADMINISTRATIVE AIDE VI (CLERK III) (RMTUB-ADA6-9-2023)</strong></p><p><br /></p><p>For full job description, please see PDF file on Civil Service Commission site by clicking ""<strong>Apply Now</strong>"" on this job ad. Please kindly follow the procedure described in the PDF file</p>",PH,OnSite,Unknown
